,Game Date,Game Time,Away Team Abbr.,Away Team Name,Home Team Abbr.,Home Team Name,Away Score Total,Home Score Total,,Team Abbr.,Stadium Latitude,Stadium Longitude,ÆTime | EST = 0
233,4/22/16,23:07:00 GMT,OAK,Athletics,TOR,Blue Jays,8,5,,,,,
234,4/22/16,23:10:00 GMT,CHC,Cubs,CIN,Reds,8,1,,,,,
235,4/22/16,23:10:00 GMT,CLE,Indians,DET,Tigers,2,1,,,,,
236,4/22/16,23:35:00 GMT,NYM,Mets,ATL,Braves,6,3,,,,,
237,4/22/16,00:00:00 GMT,PHI,Phillies,MIL,Brewers,5,2,,,,,
238,4/22/16,00:10:00 GMT,BOS,Red Sox,HOU,Astros,6,2,,,,,
239,4/22/16,00:10:00 GMT,TEX,Rangers,CWS,White Sox,0,5,,,,,
240,4/22/16,00:15:00 GMT,BAL,Orioles,KC,Royals,2,4,,,,,
241,4/22/16,00:40:00 GMT,LAD,Dodgers,COL,Rockies,5,7,,,,,
242,4/22/16,01:40:00 GMT,PIT,Pirates,ARI,Diamondbacks,8,7,,,,,
243,4/22/16,02:05:00 GMT,SEA,Mariners,LAA,Angels,5,2,,,,,
244,4/22/16,02:15:00 GMT,MIA,Marlins,SF,Giants,1,8,,,,,
245,4/22/16,02:40:00 GMT,STL,Cardinals,SD,Padres,1,4,,,,,
246,4/23/16,17:05:00 GMT,MIN,Twins,WAS,Nationals,0,2,,,,,
247,4/23/16,17:05:00 GMT,TB,Rays,NYY,Yankees,2,3,,,,,
248,4/23/16,17:07:00 GMT,OAK,Athletics,TOR,Blue Jays,3,9,,,,,
249,4/23/16,17:10:00 GMT,CLE,Indians,DET,Tigers,10,1,,,,,
250,4/23/16,18:10:00 GMT,TEX,Rangers,CWS,White Sox,3,4,,,,,
251,4/23/16,20:05:00 GMT,BOS,Red Sox,HOU,Astros,3,8,,,,,
252,4/23/16,23:00:00 GMT,PHI,Phillies,MIL,Brewers,10,6,,,,,
253,4/23/16,23:10:00 GMT,NYM,Mets,ATL,Braves,8,2,,,,,
254,4/23/16,23:10:00 GMT,CHC,Cubs,CIN,Reds,5,13,,,,,
255,4/23/16,23:15:00 GMT,BAL,Orioles,KC,Royals,8,3,,,,,
256,4/23/16,00:10:00 GMT,PIT,Pirates,ARI,Diamondbacks,1,7,,,,,
257,4/23/16,00:10:00 GMT,LAD,Dodgers,COL,Rockies,4,1,,,,,
258,4/23/16,00:40:00 GMT,STL,Cardinals,SD,Padres,11,2,,,,,
259,4/23/16,01:05:00 GMT,SEA,Mariners,LAA,Angels,2,4,,,,,
260,4/23/16,01:05:00 GMT,MIA,Marlins,SF,Giants,2,7,,,,,
261,4/24/16,17:05:00 GMT,TB,Rays,NYY,Yankees,8,1,,,,,
262,4/24/16,17:07:00 GMT,OAK,Athletics,TOR,Blue Jays,3,6,,,,,
263,4/24/16,17:10:00 GMT,CLE,Indians,DET,Tigers,6,3,,,,,
264,4/24/16,17:10:00 GMT,CHC,Cubs,CIN,Reds,9,0,,,,,
265,4/24/16,17:35:00 GMT,NYM,Mets,ATL,Braves,3,2,,,,,
266,4/24/16,17:35:00 GMT,MIN,Twins,WAS,Nationals,5,6,,,,,
267,4/24/16,18:00:00 GMT,PHI,Phillies,MIL,Brewers,5,8,,,,,
268,4/24/16,18:10:00 GMT,TEX,Rangers,CWS,White Sox,1,4,,,,,
269,4/24/16,18:15:00 GMT,BAL,Orioles,KC,Royals,1,6,,,,,
270,4/24/16,19:35:00 GMT,SEA,Mariners,LAA,Angels,9,4,,,,,
271,4/24/16,20:05:00 GMT,MIA,Marlins,SF,Giants,5,4,,,,,
272,4/24/16,20:10:00 GMT,LAD,Dodgers,COL,Rockies,12,11,,,,,
273,4/24/16,20:10:00 GMT,PIT,Pirates,ARI,Diamondbacks,12,10,,,,,
274,4/24/16,20:40:00 GMT,STL,Cardinals,SD,Padres,8,6,,,,,
275,4/24/16,00:05:00 GMT,BOS,Red Sox,HOU,Astros,7,5,,,,,
276,4/25/16,23:07:00 GMT,CWS,White Sox,TOR,Blue Jays,7,5,,,,,
277,4/25/16,23:10:00 GMT,BOS,Red Sox,ATL,Braves,1,0,,,,,
278,4/25/16,23:10:00 GMT,BAL,Orioles,TB,Rays,0,2,,,,,
279,4/25/16,23:10:00 GMT,CIN,Reds,NYM,Mets,3,5,,,,,
280,4/25/16,23:10:00 GMT,OAK,Athletics,DET,Tigers,3,8,,,,,
281,4/25/16,00:05:00 GMT,NYY,Yankees,TEX,Rangers,3,1,,,,,
282,4/25/16,00:10:00 GMT,CLE,Indians,MIN,Twins,3,4,,,,,
283,4/25/16,00:40:00 GMT,PIT,Pirates,COL,Rockies,6,1,,,,,
